S	0	1377	*	*	*	*	*	aba:Acid345_3931	*
H	0	1395	63.0	+	0	0	21D499M3I661M21D178MD14M22I	ars:ADJ73_16090	aba:Acid345_3931
H	0	1386	56.6	+	0	0	6I336M12D247M2D22M5D11M7I191M3D346M24D187M24I	asa:ASA_2330	aba:Acid345_3931
H	0	1383	56.7	+	0	0	1180M24D52M2D68MD56M21I	ash:AL1_23350	aba:Acid345_3931
S	1	1464	*	*	*	*	*	asx:CDL62_16620	*
H	0	1386	56.9	+	0	0	6I336M12D479M3D345M24D187M24I	avo:AMS64_10185	aba:Acid345_3931
H	0	1386	56.6	+	0	0	6I336M12D479M3D345M24D187M24I	avr:B565_2093	aba:Acid345_3931
H	0	1467	50.5	+	0	0	13M3D309M7D12M22D29MD464M8D33MD101M4I25M3D23M2I156M9D15M15D154M9I9M2D7M2D12M32D	awd:AWOD_I_1599	aba:Acid345_3931
H	0	1374	62.3	+	0	0	7M3I512M3I644M13D6M11D87M2D22M2I70M21I	aza:AZKH_4575	aba:Acid345_3931
H	0	1449	50.7	+	0	0	27D36M11I13M4D15MD616M9I63M9D25M3I355M19D26M2D182MI22M34D	azi:AzCIB_0931	aba:Acid345_3931
H	1	1380	50.4	+	0	0	39I765M15D27M10D24M4I14M18I80M4D42M4I170M3D113M2D51M4D56M57I	bacc:BRDCF_p2216	asx:CDL62_16620
H	0	1374	53.8	+	0	0	5D24M8I485M3I292M2I26M2D312M7D28M17D103M3D70M24I	bcel:BcellWH2_01052	aba:Acid345_3931
H	0	1428	56.9	+	0	0	16M3D1148M27D189M9D24M12D	bge:BC1002_6700	aba:Acid345_3931
H	0	1380	50.3	+	0	0	6I15M3D303MD38MI458M5D25M2I332M24D176M21I	bhd:BHYOB78_06540	aba:Acid345_3931
H	0	1344	50.1	+	0	0	39I285MD38MI458M5D25M2I332M24D76MD45MI54M21I	bhy:BHWA1_01919	aba:Acid345_3931
S	2	1344	*	*	*	*	*	bip:Bint_2781	*
H	2	1377	59.9	+	0	0	36D778M3I458M2D25MD77M3I	blq:L21SP5_01020	bip:Bint_2781
H	0	1431	53.7	+	0	0	62D24M8I475M3I302M2I31M2D307M11D26M13D105M3D48M9D13M33I	boa:Bovatus_01573	aba:Acid345_3931
H	2	1380	88.8	+	0	0	36D1344M	bpw:WESB_0101	bip:Bint_2781
H	0	1380	54.1	+	0	0	5D24M8I450M3D37M6I288M2I25M2D340M24D103M3D76M18I	bth:BT_1492	aba:Acid345_3931
H	0	1380	54.7	+	0	0	5D24M8I450MI36M2I292M2I25M2D331M7D9M17D103M3D76M18I	btho:Btheta7330_01722	aba:Acid345_3931
H	0	1446	51.2	+	0	0	34D32M13I91M3I665M3I339M19D22M2D155MD11M14I20M3D9M43D	bvr:BVIR_1448	aba:Acid345_3931
H	0	1374	54.1	+	0	0	5D24M8I450M3D18M6I297M2I40M2D307M11D26M13D123M3D30M9D13M33I	bxy:BXY_45090	aba:Acid345_3931
H	0	648	60.5	+	0	0	735I428M21D7M6D186M21I	caby:Cabys_2411	aba:Acid345_3931
H	2	1386	64.7	+	0	0	36D300M3D1044M3D	cace:CACET_c32610	bip:Bint_2781
H	0	1416	51.3	+	0	0	13M2I6M5D305M16D24M14D473M9D191M3I161M24D162M12I13M12I	caf:AL524_03030	aba:Acid345_3931
H	0	1416	50.4	+	0	0	13M2I6M5D329M30D473M9D191M3I161M24D162M12I13M12I	cama:F384_20245	aba:Acid345_3931
H	0	1392	65.2	+	0	0	9D494MD18MI653M21D171M6D19M21I	cap:CLDAP_10980	aba:Acid345_3931
H	0	1446	50.8	+	0	0	22D24M6I40M5D424MD18M4I272M3I367M21D197M11D22M22D	cbq:AL705_05405	aba:Acid345_3931
H	1	1449	63.1	+	0	0	15I1449M	ccl:Clocl_1892	asx:CDL62_16620
H	0	1389	56.0	+	0	0	6I313MD40M11D441M3D366M24D190M21I	ccon:AFK62_02325	aba:Acid345_3931
H	0	1389	55.4	+	0	0	6I320M3D17M9D470M3D354M24D189M21I	cdm:AFK67_02310	aba:Acid345_3931
H	0	1389	57.5	+	0	0	482M3I364M6D320M24D108M2D23MD59M18I	cdn:BN940_09186	aba:Acid345_3931
H	0	1401	56.2	+	0	0	6I333M6D23M18D439M3D365M24D190M21I	ced:LH89_15965	aba:Acid345_3931
H	2	1386	67.0	+	0	0	39D1344M3D	ceu:A7L45_03865	bip:Bint_2781
H	0	1416	50.9	+	0	0	13M2I6M5D329M30D473M9D169M3I183M24D162M12I13M12I	cfar:CI104_25255	aba:Acid345_3931
H	2	1377	58.5	+	0	0	36D775M3I465M6D26M3I69M3I	cgn:OK18_07025	bip:Bint_2781
H	2	1377	59.2	+	0	0	36D775M3I460M2D26MD77M3I	chh:A0O34_09960	bip:Bint_2781
H	0	1449	53.4	+	0	0	12D69M9D735M3I339M3I13M24D186MI28M34D	chm:B842_02140	aba:Acid345_3931
H	2	1377	59.1	+	0	0	36D775M3I493M3D70M3I	chry:CEY12_13725	bip:Bint_2781
H	2	1341	60.1	+	0	0	457MD15MI302M3I460M2D20MD83M3I	chz:CHSO_0681	bip:Bint_2781
H	2	1377	59.5	+	0	0	36D775M3I460M2D32MD61M3I10M	cio:CEQ15_17460	bip:Bint_2781
H	0	1389	55.3	+	0	0	6I320M16D21M4I470M6I31M9D308M24D174M4I16M17I	cko:CKO_02849	aba:Acid345_3931
S	3	1629	*	*	*	*	*	clb:Clo1100_1733	*
H	3	1644	68.4	+	0	0	3D296M6D952M3D369M4I8M7D	clo:HMPREF0868_1596	clb:Clo1100_1733
H	0	1443	53.1	+	0	0	13D41M3D22M5D444M6I274M3I369M21D196M2D22M31D	cmd:B841_11865	aba:Acid345_3931
S	4	651	*	*	*	*	*	cmq:B840_02180	*
H	0	1389	55.8	+	0	0	6I321M3D18M9D476M6I31M9D308M24D105MI30MD54M21I	cmw:AFK63_16310	aba:Acid345_3931
H	2	1380	67.9	+	0	0	33D293M3D1051M	cno:NT01CX_2071	bip:Bint_2781
H	2	1377	58.1	+	0	0	36D775M3I465M2D21MD77M3I	cpip:CJF12_15000	bip:Bint_2781
H	2	1347	58.8	+	0	0	30D787M2D33M2I308M24I178M3I9M	cpo:COPRO5265_1547	bip:Bint_2781
H	2	1392	63.9	+	0	0	39D779M3D496M3D62M3D7M	csh:Closa_3812	bip:Bint_2781
H	4	1449	52.9	+	0	0	465D236M189D111M111D177M30D26M3D101M	csph:CSPHI_06785	cmq:B840_02180
H	2	1419	69.0	+	0	0	75D1344M	ctc:CTC_01509	bip:Bint_2781
H	2	1383	68.4	+	0	0	39D1344M	ctet:BN906_01677	bip:Bint_2781
H	0	1386	58.6	+	0	0	5M3I334M12D86M2D30M2I50M3I301M3D353M24D186M24I	cvc:BKX93_18915	aba:Acid345_3931
H	0	1386	57.7	+	0	0	5M3I334M12D168M3I288M3D365M24D187M24I	cvi:CV_1163	aba:Acid345_3931
H	2	1380	61.2	+	0	0	30D299M3D1045M3D	dai:Desaci_3976	bip:Bint_2781
H	0	1401	54.4	+	0	0	6I320M3D22M21D453M3D365M24D190M21I	dda:Dd703_0626	aba:Acid345_3931
H	0	1401	54.7	+	0	0	6I321M3D18M3D10M18D445M3D366M24D190M21I	ddc:Dd586_3553	aba:Acid345_3931
H	0	1401	56.5	+	0	0	6I333M6D23M18D439M3D350M11D15M13D190M21I	ddd:Dda3937_01355	aba:Acid345_3931
H	2	1389	60.5	+	0	0	39D779M3D495M3D70M	ddh:Desde_1258	bip:Bint_2781
H	1	1449	62.7	+	0	0	15I1449M	ddl:Desdi_0330	asx:CDL62_16620
H	0	1401	56.0	+	0	0	6I333M6D23M18D438M3D366M24D190M21I	ddq:DDI_3576	aba:Acid345_3931
H	2	1389	63.3	+	0	0	42D305M3D1039M	dfg:B0537_11105	bip:Bint_2781
H	2	1389	60.9	+	0	0	39D779M3D496M3D69M	dhd:Dhaf_1324	bip:Bint_2781
H	0	1383	58.0	+	0	0	6I321M3D495M4D18MD9M2I316M24D192M18I	dor:Desor_2544	aba:Acid345_3931
H	1	1395	50.0	+	0	0	37I14M2I721M3D195M4D44M4I185M3D139M4D11M2D35M7I11M7I8M4I16M24I	dori:FH5T_08715	asx:CDL62_16620
H	2	1389	62.6	+	0	0	42D305M3D1039M	drm:Dred_2018	bip:Bint_2781
H	0	1401	56.2	+	0	0	6I321M3D16M3D19M18D439M3D365M24D190M21I	dso:A4U42_05600	aba:Acid345_3931
H	2	1341	56.8	+	0	0	48I255M3D1028M8D13M34D	dsy:DSY1332	bip:Bint_2781
H	2	1386	67.3	+	0	0	39D291M3D1053M	dtn:DTL3_1682	bip:Bint_2781
H	0	1389	59.6	+	0	0	6I324M6D20M6D157M5I28M5D284M3D342M24D190M21I	dvg:Deval_2055	aba:Acid345_3931
H	0	1389	59.5	+	0	0	6I324M6D20M6D157M5I28M5D284M3D342M24D190M21I	dvl:Dvul_1032	aba:Acid345_3931
H	0	1389	59.6	+	0	0	6I324M6D20M6D157M5I28M5D284M3D342M24D190M21I	dvu:DVU2204	aba:Acid345_3931
H	0	1401	54.7	+	0	0	6I321M3D18M3D10M18D445M3D366M24D190M21I	dzc:W909_17045	aba:Acid345_3931
H	0	1401	55.9	+	0	0	6I333M6D23M18D439M3D365M24D190M21I	dze:Dd1591_0587	aba:Acid345_3931
H	0	1416	51.9	+	0	0	4D15MI334M30D489M9D169M3I156M24D96M2D14M2I61M12I13M12I	eab:ECABU_c41910	aba:Acid345_3931
H	2	1416	52.0	+	0	0	42D314M30D465MD42M5D158M3I359M3I	eal:EAKF1_ch2226c	bip:Bint_2781
H	2	1377	59.8	+	0	0	36D787M3I444M2D30MD64M3I13M	eao:BD94_0046	bip:Bint_2781
H	0	1449	50.9	+	0	0	45D20M17I20M7I760M4I11MD312M15D22M6D182M2D22M31D	eba:ebA605	aba:Acid345_3931
H	0	1416	51.7	+	0	0	4D15MI334M30D478M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	ebd:ECBD_4324	aba:Acid345_3931
H	0	1416	51.7	+	0	0	4D15MI334M30D478M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	ebe:B21_03536	aba:Acid345_3931
H	0	1416	51.7	+	0	0	4D15MI334M30D478M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	ebl:ECD_03592	aba:Acid345_3931
H	0	1416	51.7	+	0	0	4D15MI334M30D478M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	ebr:ECB_03592	aba:Acid345_3931
H	2	1416	51.9	+	0	0	42D314M30D465MD42M5D158M3I359M3I	ebw:BWG_3399	bip:Bint_2781
H	0	1431	51.9	+	0	0	19D15MI334M30D489M9D169M3I156M24D96M2D14M2I61M12I13M12I	ecc:c4631	aba:Acid345_3931
H	2	1416	51.9	+	0	0	42D314M30D465MD42M5D158M3I359M3I	ecd:ECDH10B_3895	bip:Bint_2781
H	2	1431	52.2	+	0	0	57D314M30D465MD42M5D158M3I359M3I	ece:Z5203	bip:Bint_2781
H	2	1416	52.2	+	0	0	42D314M30D465MD42M5D158M3I359M3I	ecf:ECH74115_5139	bip:Bint_2781
H	0	1416	51.6	+	0	0	4D15MI334M30D489M9D169M3I156M24D96M2D14M2I61M12I13M12I	ecg:E2348C_4019	aba:Acid345_3931
H	0	1431	51.9	+	0	0	19D15MI334M30D489M9D169M3I156M24D96M2D14M2I61M12I13M12I	eci:UTI89_C4261	aba:Acid345_3931
H	2	1416	51.9	+	0	0	42D314M30D465MD42M5D158M3I359M3I	ecj:JW3686	bip:Bint_2781
H	0	1416	51.7	+	0	0	4D15MI334M30D478M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	eck:EC55989_4178	aba:Acid345_3931
H	2	1416	51.8	+	0	0	42D314M30D465MD42M5D158M3I359M3I	ecl:EcolC_4286	bip:Bint_2781
H	2	1416	52.4	+	0	0	42D314M30D465MD12MD9M3D23MD156M3I359M3I	ecm:EcSMS35_4075	bip:Bint_2781
H	2	1416	51.9	+	0	0	42D314M30D465MD42M5D158M3I359M3I	eco:b3708	bip:Bint_2781
H	0	1416	52.0	+	0	0	4D15MI334M30D478M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	ecoa:APECO78_22410	aba:Acid345_3931
H	2	1416	52.9	+	0	0	42D314M30D465MD12MD9M3D23MD156M3I359M3I	ecoh:ECRM13516_4558	bip:Bint_2781
H	0	1416	51.9	+	0	0	4D15MI334M30D489M9D169M3I156M24D96M2D14M2I61M12I13M12I	ecoi:ECOPMV1_04046	aba:Acid345_3931
H	0	1416	51.9	+	0	0	4D15MI334M30D489M9D169M3I156M24D96M2D14M2I61M12I13M12I	ecoj:P423_20580	aba:Acid345_3931
H	2	1416	51.9	+	0	0	42D314M30D465MD42M5D158M3I359M3I	ecok:ECMDS42_3145	bip:Bint_2781
H	0	1416	51.7	+	0	0	4D15MI334M30D478M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	ecol:LY180_19205	aba:Acid345_3931
H	2	1416	52.8	+	0	0	42D314M30D465MD12MD9M3D23MD156M3I359M3I	ecoo:ECRM13514_4774	bip:Bint_2781
H	0	1431	51.9	+	0	0	19D15MI334M30D489M9D169M3I156M24D96M2D14M2I61M12I13M12I	ecos:EC958_4181	aba:Acid345_3931
H	0	1416	52.0	+	0	0	4D15MI334M30D478M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	ecp:ECP_3908	aba:Acid345_3931
H	0	1416	51.8	+	0	0	4D15MI334M30D489M9D169M3I156M24D96M2D14M2I61M12I13M12I	ecq:ECED1_4399	aba:Acid345_3931
H	0	1416	51.7	+	0	0	4D15MI334M30D478M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	ecr:ECIAI1_3887	aba:Acid345_3931
H	2	1416	52.2	+	0	0	42D314M30D465MD42M5D158M3I359M3I	ecs:ECs4645	bip:Bint_2781
H	0	1416	52.1	+	0	0	4D15MI334M30D478M8D17MD163M3I160M24D92M2D14M2I61M12I13M12I	ect:ECIAI39_4312	aba:Acid345_3931
H	0	1431	51.9	+	0	0	19D15MI334M30D489M9D169M3I156M24D96M2D14M2I61M12I13M12I	ecv:APECO1_2752	aba:Acid345_3931
H	0	1416	51.7	+	0	0	4D15MI334M30D478M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	ecw:EcE24377A_4217	aba:Acid345_3931
H	0	1416	51.6	+	0	0	4D15MI334M30D478M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	ecx:EcHS_A3922	aba:Acid345_3931
H	0	1416	51.7	+	0	0	4D15MI334M30D478M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	ecy:ECSE_3994	aba:Acid345_3931
H	0	1416	51.9	+	0	0	4D15MI334M30D489M9D169M3I156M24D96M2D14M2I61M12I13M12I	ecz:ECS88_4131	aba:Acid345_3931
H	2	1416	51.9	+	0	0	42D314M30D465MD42M5D158M3I359M3I	edh:EcDH1_4259	bip:Bint_2781
H	2	1617	50.6	+	0	0	51D173M23D24M7D22M56D16M54D15M2I22M12D86M8D28MD33M9D366MI14M30D24MD221M9D194M4D13MI21M3I15M3D50M12D	edi:EDI_311960	bip:Bint_2781
H	2	1416	51.9	+	0	0	42D314M30D465MD42M5D158M3I359M3I	edj:ECDH1ME8569_3596	bip:Bint_2781
H	0	1416	53.8	+	0	0	13M2I6M5D329M30D491M9D139M3I184M10D13M14D160M9I13M15I	edl:AAZ33_04480	aba:Acid345_3931
H	0	1416	53.8	+	0	0	13M2I6M5D329M30D491M9D139M3I184M10D13M14D160M9I13M15I	edw:QY76_15975	aba:Acid345_3931
H	2	1377	58.2	+	0	0	25D28M11D747M3I488M3D53M13I12M10D	een:BBD30_06445	bip:Bint_2781
H	0	1416	51.5	+	0	0	4D15MI334M30D477M8D18MD163M3I167M24D85M2D14M2I61M12I13M12I	efe:EFER_4004	aba:Acid345_3931
H	2	1377	58.6	+	0	0	36D787M3I476M3D53M13I12M10D	egm:AYC65_17205	bip:Bint_2781
H	2	1377	58.6	+	0	0	36D787M3I476M3D53M13I12M10D	ego:BBD34_09600	bip:Bint_2781
H	3	1617	53.3	+	0	0	13M3D333M4D19M2D91M7I52M5I505M21I258M6D325M6D	ehi:EHI_111610	clb:Clo1100_1733
H	0	1416	52.9	+	0	0	4D13MI336M30D491M9D139M3I197M24D154M11D8M35I	eho:A9798_03465	aba:Acid345_3931
H	0	1416	51.9	+	0	0	4D15MI334M30D489M9D169M3I156M24D96M2D14M2I61M12I13M12I	eih:ECOK1_4157	aba:Acid345_3931
H	3	1608	53.5	+	0	0	7M3D302M3D12M2I30M5D120M2I12M9I21MI35MD27M5I25MD30M3D385M21I274M6D306M3I	eiv:EIN_327340	clb:Clo1100_1733
H	0	1416	51.7	+	0	0	4D15MI334M30D478M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	ekf:KO11_03575	aba:Acid345_3931
H	0	1416	51.7	+	0	0	4D15MI334M30D478M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	eko:EKO11_4641	aba:Acid345_3931
S	5	2868	*	*	*	*	*	ela:UCREL1_916	*
H	2	1377	59.2	+	0	0	36D787M3I476M3D53M4D18M7I	elb:VO54_02560	bip:Bint_2781
H	0	1431	51.9	+	0	0	19D15MI334M30D489M9D169M3I156M24D96M2D14M2I61M12I13M12I	elc:i14_4224	aba:Acid345_3931
H	0	1431	51.9	+	0	0	19D15MI334M30D489M9D169M3I156M24D96M2D14M2I61M12I13M12I	eld:i02_4224	aba:Acid345_3931
H	0	1431	51.7	+	0	0	19D15MI334M30D489M9D169M3I156M24D96M2D14M2I61M12I13M12I	elf:LF82_2274	aba:Acid345_3931
H	2	1416	51.8	+	0	0	42D314M30D465MD42M5D158M3I359M3I	elh:ETEC_3999	bip:Bint_2781
H	0	1416	51.7	+	0	0	4D15MI334M30D478M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	ell:WFL_19585	aba:Acid345_3931
H	0	1416	51.7	+	0	0	4D15MI334M30D489M9D169M3I156M24D96M2D14M2I61M12I13M12I	eln:NRG857_18470	aba:Acid345_3931
H	2	1416	52.1	+	0	0	42D314M30D465MD42M5D158M3I359M3I	elo:EC042_4065	bip:Bint_2781
H	2	1332	52.0	+	0	0	42D314M30D465MD42M5D158M3I267MD7M88I	elp:P12B_c3843	bip:Bint_2781
H	2	1416	52.2	+	0	0	42D314M30D465MD42M5D158M3I359M3I	elr:ECO55CA74_21605	bip:Bint_2781
H	0	1416	51.9	+	0	0	4D15MI334M30D489M9D169M3I156M24D96M2D14M2I61M12I13M12I	elu:UM146_18730	aba:Acid345_3931
H	0	1416	51.7	+	0	0	4D15MI334M30D478M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	elw:ECW_m4007	aba:Acid345_3931
H	2	1416	52.2	+	0	0	42D314M30D465MD42M5D158M3I359M3I	elx:CDCO157_4381	bip:Bint_2781
H	2	1377	58.9	+	0	0	36D775M3I465M7D21M4I60M3I13M	emg:BBD33_03180	bip:Bint_2781
H	1	1440	59.4	+	0	0	14I29MI504M9I907M	emi:Emin_0932	asx:CDL62_16620
H	2	1377	58.2	+	0	0	36D775M3I488M3D53M13I12M10D	emn:M876_17465	bip:Bint_2781
H	0	1416	51.9	+	0	0	4D15MI334M30D489M9D169M3I156M24D96M2D14M2I61M12I13M12I	ena:ECNA114_3857	aba:Acid345_3931
H	0	1416	52.1	+	0	0	4D15MI334M30D478M8D17MD163M3I160M24D92M2D14M2I61M12I13M12I	eoc:CE10_4352	aba:Acid345_3931
H	0	1416	51.7	+	0	0	4D15MI334M30D478M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	eoh:ECO103_4450	aba:Acid345_3931
H	0	1416	51.8	+	0	0	4D15MI334M30D478M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	eoi:ECO111_4535	aba:Acid345_3931
H	0	1416	51.9	+	0	0	4D15MI334M30D478M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	eoj:ECO26_4874	aba:Acid345_3931
H	2	1431	52.2	+	0	0	57D314M30D465MD42M5D158M3I359M3I	eok:G2583_4499	bip:Bint_2781
H	0	1416	52.5	+	0	0	4D13MI336M30D244M2D11MI11MI225M9D164M3I157M9D15M15D171M24I	esc:Entcl_2391	aba:Acid345_3931
H	0	1416	51.9	+	0	0	4D15MI334M30D489M9D169M3I156M24D96M2D14M2I61M12I13M12I	ese:ECSF_3553	aba:Acid345_3931
H	0	1416	51.7	+	0	0	4D15MI334M30D478M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	esl:O3K_25305	aba:Acid345_3931
H	0	1416	51.7	+	0	0	4D15MI334M30D478M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	esm:O3M_25225	aba:Acid345_3931
H	0	1416	51.7	+	0	0	4D15MI334M30D478M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	eso:O3O_00035	aba:Acid345_3931
H	0	1416	53.7	+	0	0	13M2I6M5D329M30D491M9D139M3I197M24D160M9I13M15I	etc:ETAC_04050	aba:Acid345_3931
H	0	1416	53.7	+	0	0	13M2I6M5D329M30D491M9D139M3I197M24D160M9I13M15I	etd:ETAF_0789	aba:Acid345_3931
H	0	1416	53.8	+	0	0	13M2I6M5D329M30D491M9D139M3I184M10D13M14D160M9I13M15I	ete:ETEE_2719	aba:Acid345_3931
H	0	1416	53.7	+	0	0	13M2I6M5D329M30D491M9D139M3I197M24D160M9I13M15I	etr:ETAE_0843	aba:Acid345_3931
H	2	1416	52.2	+	0	0	42D314M30D465MD42M5D158M3I359M3I	etw:ECSP_4756	bip:Bint_2781
H	0	1416	52.2	+	0	0	4D15MI334M32D11M2I465M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	eum:ECUMN_4239	aba:Acid345_3931
H	2	1416	51.8	+	0	0	42D314M30D465MD42M5D158M3I359M3I	eun:UMNK88_4517	bip:Bint_2781
H	0	1443	53.9	+	0	0	71D13M8I1155M24D109M3D55M12I13M12I	fba:FIC_02450	aba:Acid345_3931
H	3	1638	70.6	+	0	0	1248M3D381M6D	fhw:RN87_03445	clb:Clo1100_1733
H	3	1638	70.5	+	0	0	1248M3D381M6D	fnc:HMPREF0946_01787	clb:Clo1100_1733
H	3	1638	69.9	+	0	0	1248M3D381M6D	fne:FSDG_01509	clb:Clo1100_1733
H	3	1638	70.6	+	0	0	1248M3D381M6D	fnt:HMPREF0405_01771	clb:Clo1100_1733
H	3	1638	70.2	+	0	0	1245M3D384M6D	fnu:FN1943	clb:Clo1100_1733
H	3	1638	69.8	+	0	0	1241M3D388M6D	fus:HMPREF0409_01795	clb:Clo1100_1733
H	5	1602	55.6	+	0	0	18MI25M11I17M6I238MD14M4I140M18I31M15I200M3D701M6D208M1221I	fvr:FVEG_14027	ela:UCREL1_916
H	2	1383	63.9	+	0	0	36D299M3D488M3I27M3D527M	gfe:Gferi_20905	bip:Bint_2781
H	0	1464	51.9	+	0	0	10D9M7I334M30D471M3D10M6D133M2I27MI173M13D13M11D197M24D	gho:AL542_02385	aba:Acid345_3931
H	0	1461	52.3	+	0	0	10D12M7I317M2D14M28D477M8D24MD159M3I150M18D7M2D6M4D86M2D18M2I95M21D	gsn:YC6258_01928	aba:Acid345_3931
H	0	1344	55.7	+	0	0	6M2I48M8I21M8I395MI26MD732MD11MI55M15I14M3D31M3I	hab:SG26_06740	aba:Acid345_3931
H	0	1464	58.6	+	0	0	99D487MD13MI349M3D460M6D46M21I	hal:VNG_2373G	aba:Acid345_3931
H	0	1341	57.0	+	0	0	18I1295M6D40M24I	halh:HTSR_0012	aba:Acid345_3931
H	0	1374	58.8	+	0	0	21I14M15D1281M6D58M3I	hbo:Hbor_02170	aba:Acid345_3931
H	0	1347	58.3	+	0	0	18I688M5I9M5D527MD24MI44M6D43M18I	hda:BB347_14045	aba:Acid345_3931
H	0	1347	57.6	+	0	0	19I17MD777M3D147M4D26M4I324M12I48M3I	hdl:HALDL1_16665	aba:Acid345_3931
H	0	1347	60.1	+	0	0	18I1298M6D43M18I	hgi:ABY42_00040	aba:Acid345_3931
H	0	1416	56.2	+	0	0	18I587MI24MD183M48D503M6D61M3D	hhb:Hhub_3742	aba:Acid345_3931
H	0	1380	55.9	+	0	0	24D18MI31M2D7M7I1183MD11MI55M15I14M3D31M3I	hhi:HAH_2872	aba:Acid345_3931
H	0	1380	55.9	+	0	0	24D18MI31M2D7M7I1183MD11MI55M15I14M3D31M3I	hhn:HISP_14600	aba:Acid345_3931
H	0	1341	56.9	+	0	0	18I1295M6D40M24I	hhsr:HSR6_0012	aba:Acid345_3931
H	0	1368	61.8	+	0	0	6I500M3I471MI25MD161M21D81MD18MI89M21I	hhy:Halhy_0884	aba:Acid345_3931
H	2	1419	55.2	+	0	0	42D278M12D15M3D22M15D467M6D204M3I355M	hia:H733_0605	bip:Bint_2781
